year,regionid,unemploymentrate,lis,MA_2005_penetration,MA_2004_penetration,MA_2003_penetration,Contract_ID,Plan_ID,Plan_Type,Benefit_Type,Part_D_Total_Premium,Part_D_Basic_Premium,Part_D_Basic_P_Below_Bench,Extra_Coverage_in_Gap,Part_D_Drug_Deductible,enrol_tot_num,enrol_tot_num_croWlagged,enrol_lis_num,enrol_lis_num_croWlagged,top_drug,perc_drug_frf,n_medications,in_area_flag,drug_frf,Parent_Organization,firm_name_price,firm_name_enrollment,WellPoint_Dum_price,WellCare_Dum_price,UnivHeal_Dum_price,UnivAmer_Dum_price,Munich_Dum_price,Medco_Dum_price,Caremark_Dum_price,CVS_Dum_price,LDS_preMerg_Dum_price,UnitHeal_Dum_price,Torchmarck_Dum_price,Kaiser_Dum_price,Humana_Dum_price,HealthSpring_Dum_price,HealNet_preMerg_Dum_price,HISC_Dum_price,Envision_Dum_price,Coventry_Dum_price,Aetna_Dum_price,CIGNA_Dum_price,All_OtherFirms_Dum_price,regionid_str,year_str,Plan_ID_str,new_id1,new_id4,basic,pdp,sample,lis_wcross,tot_wcross,lis_denominator3,enrol_tot_denominator3,lis_weight,enrol_tot_weight,true_weight_cw,check,true_weight_check_cw,tot_enrollmentFDC_TEMPORANEO2,weig_reg_basic_prem,mean_w_reg_basprem,enrol_tot_mapd,enrol_tot_denominator,mapd_regio_share,mapd_regio_share_t1,mapd_regio_2006share,conc_weig_basicpdpd_c4,logmean_w_reg_bpr,logmean_w_reg_bpr_ch,year2009,regio_2006share2
2010.0,21.0,7.474344,31.32,0.11655433,0.10529038,0.105771616,H0540,20,PFFS,Enhanced Alternative,0.0,0.0,,Y,0,554.58813,477.35925,87.007065,64.218025,100.0,0.95720524,,,1096.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2010.0,20,2010.021.0,21.0H0540020,0,0,0,64.218025,477.35925,190873.21009072,389864.1993145,0.0003364433645218,0.0012244244299408,0.0003364433645218,1.0,0.0003364433645218,407763.6653473,0.0,24.69337829666331,554.58813,407763.6653473,0.0926517078656875,0.0,0.0950832061757192,0.5504124960756229,3.206535122537351,0.10573751713470525,1,0.0950832061757192
2011.0,21.0,7.34395,34.75,0.11655433,0.10529038,0.105771616,H1903,11,HMO,Actuarially Equivalent Standard,32.6,32.6,Below Regional Benchmark,,310,1065.0,665.0,905.0,618.0,84.0,0.6895973,,,822.0,"WellCare Health Plans, Inc.",WellCare Health Plans,WellCare Health Plans,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2011.0,11,2011.021.0,21.0H1903011,1,0,0,618.0,665.0,196891.2098618,411102.348341,0.0031387891843103,0.0016176020465064,0.0031387891843103,1.0,0.0031387891843103,423872.620011,0.081909041445279,26.47933794919008,1065.0,423872.620011,0.0730596847684956,0.0,0.0950832061757192,0.5494150809268182,3.2763647288374504,0.06982960630009938,1,0.0950832061757192
2007.0,22.0,4.3620553,26.93,0.08063248,0.06588431,0.06462801,H0540,20,PFFS,Enhanced Alternative,11.0,11.0,Below Regional Benchmark,,0,493.44043,,44.067535,,74.0,0.79188347,,,761.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2007.0,20,2007.022.0,22.0H0540020,0,0,0,12.413307,138.99638,628344.59535195,1289757.26690455,1.9755572168241575e-05,0.0001077694102345,0.0001077694102345,1.0,0.0001077694102345,1393456.8222013,0.003895237113573,19.2586797690285,493.44043,1393456.8222013,0.0482526612441291,0.0,0.0497943635261527,0.3614028871639579,2.9579618562026355,,0,0.0
2008.0,22.0,4.9249363,25.01,0.08063248,0.06588431,0.06462801,H0332,2,HMO/HMOPOS,Enhanced Alternative,0.0,0.0,,Y,0,1846.0,,120.0,,96.0,0.8400374,,,898.0,"KS Plan Administrators, LLC",All Others,All Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2008.0,2,2008.022.0,22.0H0332002,0,0,0,,,662117.66850645,1389400.47351633,0.0,0.0,0.0,1.0,0.0,1469505.66085,0.0,20.93220525809638,1846.0,1469505.66085,0.0473404096720257,0.0,0.0497943635261527,0.34264562958953426,3.0412888944095418,0.08332703820690623,0,0.0
2009.0,22.0,7.495639,25.36,0.08063248,0.06588431,0.06462801,H0084,1,Local PPO,Basic Alternative,26.4,26.4,,,0,0.0,,0.0,,89.0,0.7643979,,,876.0,XLHealth Corporation,All Others,All Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2009.0,1,2009.022.0,22.0H0084001,1,0,0,,,630855.79148244,1404907.70741636,0.0,0.0,0.0,1.0,0.0,1546138.7113614,0.0,23.917512452160413,0.0,1546138.7113614,0.047152302354429,0.0,0.0497943635261527,0.3588316110533813,3.1746109291997313,0.13332203479018956,1,0.0497943635261527
2010.0,22.0,8.190721,27.53,0.08063248,0.06588431,0.06462801,H0084,1,Local PPO,Basic Alternative,0.0,0.0,Below Regional Benchmark,,0,939.0,0.0,167.0,0.0,89.0,0.7720524,,,884.0,XLHealth Corporation,All Others,All Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2010.0,1,2010.022.0,22.0H0084001,1,0,0,0.0,0.0,688373.53938277,1519350.3458112,0.0,0.0,0.0,1.0,0.0,1604272.4630796,0.0,24.041420882391424,939.0,1604272.4630796,0.0487666539197576,0.0,0.0497943635261527,0.3245853990848396,3.1797782128451475,0.0051672836454161875,1,0.0497943635261527
2011.0,22.0,7.9265847,30.48,0.08063248,0.06588431,0.06462801,H0084,1,Local PPO,Basic Alternative,8.8,8.8,Below Regional Benchmark,,0,1767.0,939.0,476.0,167.0,89.0,0.81543624,,,972.0,XLHealth Corporation,All Others,All Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2011.0,1,2011.022.0,22.0H0084001,1,0,0,167.0,939.0,697580.7527351,1560912.121981,0.0002393988070129,0.0006015713420229,0.0002393988070129,1.0,0.0002393988070129,1673532.0825546,0.0092914860504281,24.99558345983537,1767.0,1673532.0825546,0.0533177707975543,0.0,0.0497943635261527,0.46995562695017634,3.2186991476551157,0.038920934809968166,1,0.0497943635261527
2007.0,23.0,4.1099477,30.35,0.079704724,0.07525338,0.074573964,H0540,20,PFFS,Enhanced Alternative,11.0,11.0,Below Regional Benchmark,,0,84.68069,,7.5625525,,74.0,0.79188347,,,761.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2007.0,20,2007.023.0,23.0H0540020,0,0,0,44.067535,493.44043,119477.9099444,263344.9678726,0.0003688341637421,0.0018737416324534,0.0018737416324534,1.0,0.0018737416324534,273855.63352315,0.0034013818814549,23.692670203826754,84.68069,273855.63352315,0.0503111797363675,0.0,0.0657169850998088,0.3966318431819469,3.165165726205851,,0,0.0
2008.0,23.0,3.7394495,28.04,0.079704724,0.07525338,0.074573964,H0540,20,PFFS,Enhanced Alternative,0.0,0.0,,Y,0,239.25186,84.68069,30.408535,7.5625525,98.0,0.9616464,,,1028.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2008.0,20,2008.023.0,23.0H0540020,0,0,0,7.5625525,84.68069,120358.23089013,278788.7356962,6.28336960760377e-05,0.0003037450196419,0.0003037450196419,1.0,0.0003037450196419,285182.26616556,0.0,23.212506009658096,239.25186,285182.26616556,0.0513671491462784,0.0,0.0657169850998088,0.3992700771142283,3.1446911855762854,-0.020474540629565663,0,0.0
2009.0,23.0,6.660312,29.36,0.079704724,0.07525338,0.074573964,H0540,20,PFFS,Enhanced Alternative,0.0,0.0,,Y,0,268.25015,257.14804,36.08707,32.10568,100.0,0.952007,,,1091.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2009.0,20,2009.023.0,23.0H0540020,0,0,0,32.10568,257.14804,114836.0313282,279262.58217074,0.0002795784531097,0.0009208109371515,0.0002795784531097,1.0,0.0002795784531097,299011.2281721,0.0,27.94176704568132,268.25015,299011.2281721,0.0525732765826176,0.0,0.0657169850998088,0.4603171965158207,3.3301225961268077,0.18543141055052237,1,0.0657169850998088
